Effective area (cm^2) for 13 shell HERO module vs. E (keV) and off-axis angle (arcmin=am) 
    E      0 am    1 am    2 am    3 am    4 am    5 am    6 am    7 am    8 am    9 am   10 am   11 am   12 am 
  17.50   12.33   10.82    9.29    7.76    6.22    4.78    3.60    2.74    2.18    1.77    1.43    1.17    0.94 
  17.75   12.33   10.83    9.29    7.77    6.22    4.78    3.60    2.74    2.18    1.77    1.43    1.17    0.94 
  18.00   12.34   10.83    9.30    7.77    6.22    4.78    3.61    2.74    2.19    1.77    1.43    1.17    0.94 
  18.25   12.35   10.84    9.30    7.78    6.22    4.78    3.61    2.74    2.19    1.77    1.43    1.17    0.94 
  18.50   12.35   10.84    9.31    7.78    6.23    4.78    3.61    2.74    2.19    1.77    1.43    1.17    0.94 
  18.75   12.36   10.85    9.31    7.78    6.23    4.79    3.61    2.74    2.19    1.77    1.43    1.17    0.94 
  19.00   12.37   10.85    9.32    7.79    6.23    4.79    3.61    2.74    2.19    1.77    1.43    1.17    0.94 
  19.25   12.37   10.86    9.32    7.79    6.23    4.79    3.61    2.74    2.19    1.77    1.43    1.17    0.94 
  19.50   12.38   10.86    9.32    7.79    6.23    4.79    3.61    2.74    2.19    1.77    1.44    1.17    0.94 
  19.75   12.38   10.87    9.33    7.79    6.24    4.79    3.61    2.74    2.19    1.77    1.44    1.17    0.94 
  20.00   12.39   10.87    9.33    7.80    6.24    4.79    3.61    2.75    2.19    1.77    1.44    1.17    0.95 
  20.25   12.39   10.88    9.33    7.80    6.24    4.79    3.61    2.75    2.19    1.77    1.44    1.17    0.95 
  20.50   12.40   10.88    9.34    7.80    6.24    4.79    3.61    2.75    2.19    1.77    1.44    1.17    0.95 
  20.75   12.40   10.89    9.34    7.80    6.24    4.79    3.61    2.75    2.19    1.78    1.44    1.17    0.95 
  21.00   12.41   10.89    9.34    7.81    6.24    4.79    3.61    2.75    2.20    1.78    1.44    1.17    0.95 
  21.25   12.41   10.89    9.35    7.81    6.24    4.79    3.61    2.75    2.20    1.78    1.44    1.17    0.95 
  21.50   12.42   10.90    9.35    7.81    6.24    4.79    3.61    2.75    2.20    1.78    1.44    1.17    0.95 
  21.75   12.42   10.90    9.35    7.81    6.24    4.79    3.61    2.75    2.20    1.78    1.44    1.17    0.95 
  22.00   12.42   10.90    9.35    7.81    6.24    4.79    3.61    2.75    2.20    1.78    1.44    1.17    0.95 
  22.25   12.43   10.91    9.36    7.81    6.24    4.79    3.60    2.75    2.20    1.78    1.44    1.17    0.95 
  22.50   12.43   10.91    9.36    7.81    6.24    4.79    3.60    2.75    2.20    1.78    1.44    1.17    0.95 
  22.75   12.44   10.91    9.36    7.81    6.24    4.78    3.59    2.75    2.20    1.78    1.44    1.17    0.95 
  23.00   12.44   10.91    9.36    7.82    6.24    4.78    3.59    2.75    2.20    1.78    1.44    1.18    0.95 
  23.25   12.44   10.92    9.36    7.82    6.24    4.78    3.58    2.75    2.20    1.78    1.44    1.18    0.95 
  23.50   12.45   10.92    9.37    7.82    6.24    4.77    3.58    2.75    2.20    1.78    1.44    1.18    0.95 
  23.75   12.45   10.92    9.37    7.82    6.24    4.77    3.57    2.75    2.20    1.78    1.44    1.18    0.95 
  24.00   12.45   10.92    9.37    7.82    6.23    4.76    3.56    2.75    2.20    1.78    1.44    1.18    0.95 
  24.25   12.45   10.93    9.37    7.82    6.23    4.75    3.55    2.74    2.20    1.78    1.44    1.18    0.95 
  24.50   12.46   10.93    9.37    7.82    6.22    4.74    3.54    2.74    2.20    1.78    1.44    1.18    0.95 
  24.75   12.46   10.93    9.37    7.82    6.22    4.73    3.54    2.74    2.20    1.78    1.44    1.18    0.95 
  25.00   12.46   10.93    9.37    7.81    6.21    4.71    3.53    2.74    2.19    1.78    1.44    1.18    0.95 
  25.25   12.46   10.93    9.37    7.81    6.20    4.70    3.52    2.73    2.19    1.78    1.44    1.18    0.95 
  25.50   12.47   10.94    9.37    7.81    6.20    4.68    3.51    2.73    2.19    1.78    1.44    1.18    0.95 
  25.75   12.47   10.94    9.38    7.81    6.19    4.66    3.49    2.73    2.19    1.78    1.44    1.18    0.95 
  26.00   12.47   10.94    9.38    7.81    6.17    4.64    3.48    2.72    2.19    1.78    1.44    1.18    0.95 
  26.25   12.47   10.94    9.38    7.81    6.16    4.62    3.47    2.72    2.19    1.78    1.44    1.18    0.95 
  26.50   12.47   10.94    9.38    7.80    6.14    4.59    3.46    2.71    2.18    1.77    1.44    1.18    0.95 
  26.75   12.48   10.94    9.38    7.80    6.13    4.57    3.44    2.70    2.18    1.77    1.44    1.18    0.95 
  27.00   12.48   10.94    9.38    7.79    6.11    4.54    3.43    2.70    2.18    1.77    1.44    1.18    0.95 
  27.25   12.48   10.95    9.37    7.78    6.08    4.52    3.42    2.69    2.17    1.77    1.44    1.17    0.95 
  27.50   12.48   10.95    9.37    7.78    6.06    4.49    3.40    2.68    2.17    1.77    1.44    1.17    0.95 
  27.75   12.48   10.95    9.37    7.76    6.03    4.46    3.39    2.67    2.16    1.77    1.44    1.17    0.95 
  28.00   12.48   10.95    9.37    7.75    6.00    4.43    3.37    2.66    2.16    1.76    1.44    1.17    0.95 
  28.25   12.48   10.95    9.37    7.74    5.96    4.41    3.35    2.65    2.15    1.76    1.43    1.17    0.95 
  28.50   12.49   10.95    9.37    7.72    5.93    4.38    3.34    2.64    2.14    1.76    1.43    1.17    0.95 
  28.75   12.49   10.95    9.37    7.71    5.89    4.35    3.32    2.63    2.14    1.75    1.43    1.17    0.95 
  29.00   12.49   10.95    9.36    7.69    5.85    4.32    3.30    2.62    2.13    1.75    1.43    1.17    0.95 
