;  E           A_eff
; (keV)       (cm^2)
;           0 am     5 am
 17.5     12.84     4.89
 18.0     12.85     4.89
 18.5     12.87     4.90
 19.0     12.88     4.90
 19.5     12.89     4.90
 20.0     12.90     4.90
 20.5     12.91     4.91
 21.0     12.92     4.91
 21.5     12.93     4.91
 22.0     12.94     4.90
 22.5     12.95     4.90
 23.0     12.95     4.89
 23.5     12.96     4.89
 24.0     12.97     4.87
 24.5     12.97     4.85
 25.0     12.98     4.83
 25.5     12.98     4.79
 26.0     12.99     4.75
 26.5     12.99     4.70
 27.0     13.00     4.65
 27.5     13.00     4.60
 28.0     13.00     4.54
 28.5     13.00     4.49
 29.0     13.01     4.43
 29.5     13.01     4.37
 30.0     13.01     4.31
 30.5     13.01     4.25
 31.0     13.01     4.19
 31.5     13.01     4.12
 32.0     13.01     4.06
 32.5     13.01     3.99
 33.0     13.00     3.92
 33.5     13.00     3.85
 34.0     13.00     3.78
 34.5     12.99     3.71
 35.0     12.99     3.64
 35.5     12.98     3.56
 36.0     12.97     3.49
 36.5     12.96     3.42
 37.0     12.95     3.34
 37.5     12.94     3.27
 38.0     12.92     3.19
 38.5     12.90     3.12
 39.0     12.88     3.04
 39.5     12.85     2.96
 40.0     12.81     2.89
 40.5     12.76     2.81
 41.0     12.67     2.73
 41.5     12.52     2.65
 42.0     12.26     2.58
 42.5     12.02     2.50
 43.0     11.83     2.43
 43.5     11.67     2.36
 44.0     11.49     2.29
 44.5     11.17     2.22
 45.0     10.66     2.16
 45.5     10.31     2.09
 46.0     10.03     2.03
 46.5      9.73     1.97
 47.0      9.39     1.90
 47.5      9.11     1.84
 48.0      8.88     1.79
 48.5      8.66     1.73
 49.0      8.39     1.67
 49.5      8.11     1.62
 50.0      7.90     1.57
 50.5      7.73     1.52
 51.0      7.59     1.47
 51.5      7.46     1.42
 52.0      7.34     1.38
 52.5      7.20     1.33
 53.0      6.98     1.29
 53.5      6.76     1.25
 54.0      6.59     1.21
 54.5      6.45     1.17
 55.0      6.32     1.13
 55.5      6.17     1.09
 56.0      5.95     1.06
 56.5      5.73     1.02
 57.0      5.54     0.99
 57.5      5.32     0.95
 58.0      5.08     0.92
 58.5      4.89     0.89
 59.0      4.69     0.86
 59.5      4.46     0.83
 60.0      4.26     0.80
 60.5      4.12     0.78
 61.0      3.99     0.75
 61.5      3.89     0.73
 62.0      3.79     0.70
 62.5      3.68     0.68
 63.0      3.53     0.65
 63.5      3.36     0.63
 64.0      3.24     0.61
 64.5      3.14     0.59
 65.0      3.06     0.57
 65.5      2.98     0.55
 66.0      2.91     0.53
 66.5      2.84     0.51
 67.0      2.74     0.50
 67.5      2.59     0.48
 68.0      2.47     0.46
 68.5      2.37     0.45
 69.0      2.28     0.43
 69.5      2.15     0.42
 70.0      2.00     0.41
 70.5      1.90     0.39
 71.0      1.82     0.38
 71.5      1.75     0.37
 72.0      1.69     0.35
 72.5      1.63     0.34
 73.0      1.58     0.33
 73.5      1.53     0.32
 74.0      1.47     0.31
 74.5      1.35     0.30
 75.0      1.24     0.29
 75.5      1.15     0.27
 76.0      1.05     0.26
 76.5      0.82     0.24
 77.0      0.83     0.24
 77.5      0.81     0.24
 78.0      0.77     0.23
 78.5      0.73     0.23
 79.0      0.70     0.22
 79.5      0.66     0.22
 80.0      0.63     0.21
